Date,Day,T.Max,Smx,T.Min,Smn,Rain,Srn,Evap,Sev,Radn,Ssl,VP,Svp,RHmaxT,RHminT,Date2
20100327,86,27.9,0,17.7,0,0,0,5.8,0,22.4,42,21.4,0,57,100,27/03/2010
20100328,87,27.4,0,20.2,0,17.2,0,6.6,0,20.8,42,22,0,60.3,93,28/03/2010
20100329,88,26.8,0,20.2,0,11.2,0,3.8,0,16,42,24.4,0,69.3,100,29/03/2010
20100330,89,25.1,0,19.4,0,0.8,0,2.6,0,11.9,42,24.6,0,77.2,100,30/03/2010
20100331,90,26.9,0,21,0,12.2,0,2.8,0,15.6,42,25.2,0,71.1,100,31/03/2010
20100401,91,26,0,20,0,2.4,0,4,0,14.9,42,24.3,0,72.3,100,1/04/2010
20100402,92,26.9,0,18.8,0,0,0,6,0,19,42,20.8,0,58.7,95.9,2/04/2010
20100403,93,26.4,0,17.9,0,0,0,6,0,18.8,42,19.7,0,57.3,96.1,3/04/2010
20100404,94,26.4,0,17.2,0,0,0,4,0,16.9,42,18.5,0,53.8,94.3,4/04/2010
20100405,95,26.5,0,17,0,0,0,6,0,19.8,42,18.3,0,52.9,94.5,5/04/2010
20100406,96,25.8,0,16.4,0,0,0,4,0,16.9,42,19.4,0,58.4,100,6/04/2010
20100407,97,26.6,0,16.7,0,0,0,3.4,0,19.1,42,20.1,0,57.7,100,7/04/2010
20100408,98,28.3,0,17,0,0,0,3.8,0,18.6,42,21,0,54.6,100,8/04/2010
20100409,99,27.5,0,20.6,0,0,0,6,0,18.9,42,22.8,0,62.1,94,9/04/2010
20100410,100,28.5,0,19.9,0,0,0,4,0,17.3,42,22.7,0,58.3,97.7,10/04/2010
20100411,101,28.9,0,21.4,0,0,0,4.2,0,18.7,42,27.1,0,68.1,100,11/04/2010
20100412,102,26,0,22.5,0,0.2,0,2,0,7.2,42,26.4,0,78.6,96.9,12/04/2010
20100413,103,24.3,0,17.3,0,7.6,0,3.2,0,5.5,42,20.5,0,67.5,100,13/04/2010
20100414,104,26.2,0,14.8,0,0,0,3.6,0,16.7,42,16.8,0,49.4,99.9,14/04/2010
20100415,105,25.8,0,16.3,0,1.2,0,5,0,18.6,42,18.3,0,55.1,98.8,15/04/2010
20100416,106,24.5,0,16.2,0,5.4,0,2.6,0,7.8,42,20.1,0,65.4,100,16/04/2010
20100417,107,25.8,0,15.8,0,20.8,0,5.4,0,19.2,42,19,0,57.2,100,17/04/2010
20100418,108,25.9,0,17.4,0,8.8,0,3.4,0,14.9,42,21.2,0,63.5,100,18/04/2010
20100419,109,25.4,0,18.3,0,3.4,0,3.8,0,15.4,42,21.7,0,66.9,100,19/04/2010
20100420,110,24.5,0,17.8,0,1,0,2.4,0,10.7,42,21.6,0,70.3,100,20/04/2010
20100421,111,22.8,0,17.8,0,13.6,0,1,0,6.8,42,22.7,0,81.8,100,21/04/2010
20100422,112,25,0,17.8,0,27,0,3.2,0,13.6,42,20.6,0,65,100,22/04/2010
20100423,113,26.5,0,16.6,0,0,0,3.4,0,17.3,42,21.7,0,62.7,100,23/04/2010
20100424,114,25,0,18.2,0,0.2,0,2.6,0,14.2,42,23.4,0,73.9,100,24/04/2010
20100425,115,26.9,0,17.4,0,2.6,0,4,0,17.1,42,23.5,0,66.3,100,25/04/2010
20100426,116,25.3,0,14.9,0,0,0,4.8,0,17.9,42,12.2,0,37.8,72.1,26/04/2010
20100427,117,24.4,0,13.1,0,0,0,3,0,17.2,42,12.9,0,42.2,85.6,27/04/2010
20100428,118,26.3,0,15.8,0,0,0,3,0,15.9,42,19,0,55.5,100,28/04/2010
20100429,119,27.4,0,16.8,0,0,0,3,0,16.7,42,21,0,57.5,100,29/04/2010
20100430,120,25.8,0,12.3,0,0,0,4.8,0,17.7,42,13.9,0,41.9,97.2,30/04/2010
20100501,121,25.9,0,16.1,0,0,0,4,0,15.7,42,18.4,0,55.1,100,1/05/2010
20100502,122,25.9,0,16.9,0,0,0,4,0,17.3,42,19.7,0,59,100,2/05/2010
20100503,123,25.9,0,15.4,0,0,0,4.8,0,14.4,42,18.9,0,56.6,100,3/05/2010
20100504,124,21.1,0,17.7,0,8.4,0,0,0,8.6,42,21.4,0,85.6,100,4/05/2010
20100505,125,25.7,0,15.6,0,16.2,0,2.8,0,16.6,42,21.4,0,64.8,100,5/05/2010
20100506,126,24.7,0,13.6,0,0,0,5.2,0,17.3,42,13.8,0,44.4,88.7,6/05/2010
20100507,127,24.9,0,12.7,0,0,0,3.4,0,17.4,42,12,0,38.1,81.8,7/05/2010
20100508,128,24.8,0,10.6,0,0,0,2.8,0,16.3,42,13.4,0,42.8,100,8/05/2010
20100509,129,25,0,13.7,0,0,0,3.2,0,14.8,42,16.1,0,50.8,100,9/05/2010
20100510,130,23.3,0,16.2,0,0.4,0,1.8,0,11.1,42,17.8,0,62.2,96.7,10/05/2010
20100511,131,25.9,0,14.7,0,0,0,0.8,0,14.1,42,18.9,0,56.6,100,11/05/2010
20100512,132,27.1,0,13.5,0,2.8,0,6.6,0,16.6,42,18.7,0,52.2,100,12/05/2010
20100513,133,23.2,0,10.7,0,0,0,2.6,0,16.7,42,9.4,0,33.1,73.1,13/05/2010
20100514,134,24.9,0,6.1,0,0,0,2.4,0,16.7,42,10,0,31.8,100,14/05/2010
20100515,135,24.7,0,8.6,0,0,0,2.8,0,16.5,42,10.9,0,35,97.6,15/05/2010
20100516,136,20.8,0,12.1,0,0,0,1.8,0,8.5,42,12.4,0,50.5,87.9,16/05/2010
20100517,137,21.3,0,11.9,0,0,0,1.4,0,6.9,42,13.9,0,54.9,99.8,17/05/2010
20100518,138,24,0,9.4,0,0,0,2.8,0,15.5,42,13.7,0,45.9,100,18/05/2010
20100519,139,23.1,0,10.1,0,0,0,2.6,0,14.4,42,11.9,0,42.1,96.3,19/05/2010
20100520,140,23,0,12.2,0,0,0,2.8,0,13.3,42,14.9,0,53.1,100,20/05/2010
20100521,141,19.9,0,16.5,0,0.8,0,1.8,0,6.5,42,18.5,0,79.7,98.6,21/05/2010
20100522,142,23.3,0,11.2,0,3.2,0,2.8,0,15.1,42,15.4,0,53.9,100,22/05/2010
20100523,143,23,0,10.7,0,0,0,2,0,10.9,42,13.8,0,49.1,100,23/05/2010
20100524,144,22.8,0,14.3,0,0,0,3,0,11.2,42,15.9,0,57.3,97.6,24/05/2010
20100525,145,21.6,0,16.3,0,2.4,0,1.8,0,5.3,42,18.4,0,71.3,99.3,25/05/2010
20100526,146,23.9,0,13.7,0,0,0,4,0,14,42,15.3,0,51.6,97.7,26/05/2010
20100527,147,23.9,0,12.2,0,0,0,3.2,0,12.7,42,12.5,0,42.2,88,27/05/2010
20100528,148,22.1,0,12.7,0,0,0,1.8,0,10,42,16,0,60.2,100,28/05/2010
20100529,149,21.3,0,16.9,0,15.4,0,1.6,0,3.8,42,21.6,0,85.3,100,29/05/2010
20100530,150,20,0,11.9,0,2,0,4,0,13.7,42,11.1,0,47.5,79.7,30/05/2010
20100531,151,21.8,0,10.8,0,0,0,2.6,0,13.9,42,11.6,0,44.4,89.6,31/05/2010
20100601,152,22,0,9.4,0,0,0,2.2,0,12.4,42,13.6,0,51.5,100,1/06/2010
20100602,153,21.4,0,15.5,0,1,0,1.8,0,9.2,42,17.8,0,69.9,100,2/06/2010
20100603,154,22.7,0,12.9,0,0,0,2.4,0,11.1,42,15.5,0,56.2,100,3/06/2010
20100604,155,21.7,0,8.6,0,0,0,3.4,0,14,42,14.1,0,54.3,100,4/06/2010
20100605,156,24.9,0,13.2,0,0,0,4.2,0,13.9,42,13.4,0,42.6,88.4,5/06/2010
20100606,157,22.3,0,12.5,0,0,0,6.2,0,14.4,42,11.2,0,41.6,77.3,6/06/2010
20100607,158,22,0,8.7,0,0,0,2,0,11.9,42,8.8,0,33.3,78.3,7/06/2010
20100608,159,21,0,10.8,0,0,0,1.2,0,12.4,42,12.8,0,51.5,98.9,8/06/2010
20100609,160,24,0,12.3,0,0,0,4,0,12.7,42,16,0,53.6,100,9/06/2010
20100610,161,18.8,0,9.2,0,0,0,3.6,0,13,42,6.4,0,29.5,55,10/06/2010
20100611,162,20.7,0,9.1,0,0,0,2.4,0,10.1,42,8.5,0,34.8,73.6,11/06/2010
20100612,163,19.8,0,6.1,0,0,0,2.8,0,14.3,42,7,0,30.3,74.4,12/06/2010
20100613,164,20.8,0,7.4,0,0,0,1.6,0,12.5,42,8.7,0,35.4,84.5,13/06/2010
20100614,165,21.2,0,11,0,0,0,3.4,0,11.6,42,14.2,0,56.4,100,14/06/2010
20100615,166,21.5,0,11.3,0,0,0,3.4,0,13,42,13.1,0,51.1,97.9,15/06/2010
20100616,167,20.8,0,12.5,0,0,0,2.8,0,10.5,42,12.8,0,52.1,88.4,16/06/2010
20100617,168,22.5,0,10.7,0,0,0,1.2,0,9.5,42,12.7,0,46.6,98.8,17/06/2010
20100618,169,21.2,0,14.1,0,0.4,0,1.4,0,5.6,42,16.6,0,66,100,18/06/2010
20100619,170,21.7,0,14.1,0,0.2,0,2.2,0,10.5,42,12,0,46.2,74.6,19/06/2010
20100620,171,21.2,0,6.4,0,0,0,2.6,0,13.8,42,10.3,0,40.9,100,20/06/2010
20100621,172,21.5,0,9.4,0,0,0,3,0,13,42,12.4,0,48.4,100,21/06/2010
20100622,173,21.8,0,10.4,0,0,0,3,0,11.6,42,15.5,0,59.4,100,22/06/2010
20100623,174,21.3,0,11.7,0,1.4,0,1.8,0,8.2,42,15.8,0,62.4,100,23/06/2010
20100624,175,21.2,0,11.4,0,3.6,0,3.4,0,12.8,42,14.5,0,57.6,100,24/06/2010
20100625,176,20.6,0,9.5,0,0.2,0,2.4,0,11.2,42,13.8,0,56.9,100,25/06/2010
20100626,177,20.1,0,10.8,0,0,0,1.6,0,11.5,42,16.8,0,71.4,100,26/06/2010
20100627,178,21.5,0,11.9,0,0,0,2.6,0,7.3,42,16.6,0,64.8,100,27/06/2010
20100628,179,19.4,0,5.2,0,0,0,2.2,0,13.6,42,7.9,0,35.1,89.4,28/06/2010
20100629,180,17.4,0,6.8,0,0,0,0.2,0,8.2,42,7.8,0,39.3,79,29/06/2010
20100630,181,18,0,6.7,0,6,0,1.2,0,6.3,42,12.7,0,61.6,100,30/06/2010
20100701,182,18.4,0,11.1,0,3,0,1.6,0,6.3,42,8.3,0,39.2,62.9,1/07/2010
20100702,183,15.7,0,11.1,0,0,0,0.4,0,2.5,42,11.2,0,62.8,84.8,2/07/2010
20100703,184,18.3,0,12,0,6.2,0,5,0,13.9,42,10.8,0,51.4,77.1,3/07/2010
20100704,185,19.7,0,5.5,0,0,0,3.2,0,13.6,42,7.1,0,31,78.7,4/07/2010
20100705,186,20.7,0,10.2,0,0,0,2.2,0,13,42,11.2,0,45.9,90.1,5/07/2010
20100706,187,20.7,0,12.7,0,0,0,3.6,0,8,42,14.7,0,60.2,100,6/07/2010
20100707,188,16.8,0,13,0,0,0,2.6,0,3.8,42,7.9,0,41.3,52.8,7/07/2010
20100708,189,20.5,0,12.1,0,1.2,0,2.8,0,10.6,42,13.1,0,54.3,92.9,8/07/2010
20100709,190,21.6,0,12,0,0,0,3.4,0,13.1,42,12.7,0,49.2,90.6,9/07/2010
20100710,191,20.9,0,10.8,0,0.2,0,2.6,0,11.9,42,14.3,0,57.9,100,10/07/2010
20100711,192,21.3,0,10.9,0,0,0,1.6,0,9.2,42,13,0,51.3,99.8,11/07/2010
20100712,193,22.3,0,11.1,0,0,0,1.6,0,13.4,42,15.6,0,58,100,12/07/2010
20100713,194,22.2,0,11.1,0,0,0,2.8,0,13.3,42,15.5,0,57.9,100,13/07/2010
20100714,195,23.5,0,12.6,0,0,0,3.6,0,9.2,42,16.7,0,57.7,100,14/07/2010
20100715,196,21.1,0,7.5,0,0,0,5.6,0,14.6,42,6.9,0,27.6,66.6,15/07/2010
20100716,197,19.3,0,7.8,0,0,0,3.4,0,14.6,42,7.2,0,32.2,68.1,16/07/2010
20100717,198,19.8,0,6.6,0,0,0,3.8,0,14.5,42,9.4,0,40.7,96.5,17/07/2010
20100718,199,21.6,0,7.8,0,0,0,2.8,0,14.4,42,10.5,0,40.7,99.3,18/07/2010
20100719,200,20.1,0,9.3,0,0,0,0.8,0,6.3,42,13,0,55.3,100,19/07/2010
20100720,201,19.6,0,13,0,1,0,3.4,0,11.5,42,13.3,0,58.3,88.9,20/07/2010
20100721,202,19.4,0,10.4,0,0,0,3.6,0,12.8,42,10.3,0,45.7,81.7,21/07/2010
20100722,203,20.1,0,7.8,0,0,0,2.8,0,14.8,42,8.5,0,36.1,80.4,22/07/2010
20100723,204,20.6,0,7.8,0,0,0,3.6,0,13.5,42,9.1,0,37.5,86,23/07/2010
20100724,205,20.4,0,9.6,0,0,0,3.6,0,10.4,42,11.8,0,49.3,98.8,24/07/2010
20100725,206,18.7,0,13.9,0,1.4,0,1.8,0,6.9,42,14.2,0,65.9,89.5,25/07/2010
20100726,207,21.5,0,13.8,0,1.8,0,3.6,0,10,42,14.9,0,58.1,94.5,26/07/2010
20100727,208,19.2,0,12.8,0,0,0,1.2,0,8.9,42,13,0,58.5,88,27/07/2010
20100728,209,22.8,0,15.4,0,12.8,0,2.6,0,11.2,42,19.6,0,70.6,100,28/07/2010
20100729,210,22.6,0,16,0,7.8,0,0.2,0,10.5,42,21,0,76.6,100,29/07/2010
20100730,211,24,0,15.1,0,0.6,0,2.6,0,14.4,42,20.4,0,68.4,100,30/07/2010
20100731,212,27.1,0,17.3,0,0,0,5,0,9.1,42,20.8,0,58,100,31/07/2010
20100801,213,23.1,0,13.3,0,0.4,0,4.6,0,14.8,42,13.8,0,48.8,90.4,1/08/2010
20100802,214,20.2,0,10.4,0,0,0,9.2,0,16.8,42,7.9,0,33.4,62.7,2/08/2010
20100803,215,19.9,0,8.6,0,0,0,3.4,0,16.4,42,7.9,0,34,70.7,3/08/2010
20100804,216,21.6,0,7.6,0,0,0,4.6,0,16.9,42,8.3,0,32.2,79.6,4/08/2010
20100805,217,21.5,0,8.1,0,0,0,2.6,0,12.4,42,10.7,0,41.7,99.1,5/08/2010
20100806,218,21.8,0,9.7,0,0,0,4.8,0,17,42,9.9,0,37.9,82.3,6/08/2010
20100807,219,18.6,0,5,0,0,0,4,0,17.4,42,7,0,32.7,80.3,7/08/2010
20100808,220,21.2,0,5,0,0,0,3.6,0,17.1,42,8.8,0,35,100,8/08/2010
20100809,221,21.9,0,8.4,0,0,0,1.4,0,10.6,42,12.1,0,46.1,100,9/08/2010
20100810,222,19.2,0,15.8,0,3,0,3.8,25,2.8,42,19.7,0,88.6,100,10/08/2010
20100811,223,18.3,0,15.5,0,81.6,0,4.8,0,6.8,42,16.3,0,77.5,92.6,11/08/2010
20100812,224,19.4,0,11.5,0,0,0,6.6,0,17.8,42,8.4,0,37.3,61.9,12/08/2010
20100813,225,20,0,9.6,0,0,0,5,0,17.9,42,7.9,0,33.8,66.1,13/08/2010
20100814,226,19.9,0,5.3,0,0,0,3.8,0,18.3,42,9.9,0,42.6,100,14/08/2010
20100815,227,26,0,8.9,0,0,0,5.2,0,17.6,42,12.2,0,36.3,100,15/08/2010
20100816,228,23.3,0,8.1,0,0,0,6.2,0,18.2,42,8,0,28,74.1,16/08/2010
20100817,229,20.1,0,7.4,0,0,0,4,0,18.6,42,8,0,34,77.7,17/08/2010
20100818,230,22.5,0,8.7,0,0,0,4.4,0,17.6,42,12.3,0,45.1,100,18/08/2010
20100819,231,24.6,0,11.1,0,0,0,1.8,0,17.1,42,16.9,0,54.7,100,19/08/2010
20100820,232,17.7,0,17.4,0,8.8,0,3.2,0,2.4,42,18.8,0,92.9,94.7,20/08/2010
20100821,233,21.1,0,8.3,0,6,0,3.8,0,19.7,42,8.7,0,34.8,79.5,21/08/2010
20100822,234,20.5,0,6.2,0,0,0,4.4,0,19.4,42,7.2,0,29.9,76,22/08/2010
20100823,235,18.6,0,11.8,0,0,0,1,0,5.8,42,14.6,0,68.2,100,23/08/2010
20100824,236,21,0,14.2,0,8.4,0,5.6,0,16.3,42,11.5,0,46.3,71.1,24/08/2010
20100825,237,18,0,14.4,0,0,0,4,0,3.7,42,9.7,0,47,59.2,25/08/2010
20100826,238,20.6,0,13.3,0,0,0,5,0,15.8,42,9.2,0,37.9,60.3,26/08/2010
20100827,239,21.7,0,11.1,0,0,0,6.4,0,20.3,42,7.7,0,29.7,58.3,27/08/2010
20100828,240,21.4,0,6.4,0,0,0,4,0,18.7,42,9,0,35.3,93.7,28/08/2010
20100829,241,20.8,0,11.6,0,0,0,4,0,16.4,42,11,0,44.8,80.6,29/08/2010
20100830,242,21.3,0,10.4,0,0,0,4,0,17.1,42,12.4,0,49,98.4,30/08/2010
20100831,243,22.4,0,10.4,0,0,0,3.6,0,19.2,42,12.3,0,45.4,97.6,31/08/2010
20100901,244,23.7,0,11.6,0,0,0,4,0,17.8,42,15,0,51.2,100,1/09/2010
20100902,245,25.1,0,9.9,0,0,0,4.4,0,19.8,42,14.7,0,46.1,100,2/09/2010
20100903,246,25.4,0,13.6,0,0,0,4,0,18.6,42,15.1,0,46.6,97,3/09/2010
20100904,247,24.9,0,19.3,0,0,0,5,0,18.3,42,20.8,0,66.1,93,4/09/2010
20100905,248,23,0,19.7,0,1.2,0,2,0,3.9,42,23,0,81.9,100,5/09/2010
20100906,249,23.1,0,17.3,0,31.4,0,4,0,16,42,17.3,0,61.2,87.7,6/09/2010
20100907,250,22.8,0,10.1,0,0,0,4,0,21.5,42,10.7,0,38.6,86.6,7/09/2010
20100908,251,22.6,0,10.6,0,0,0,3.2,0,18.3,42,14,0,51.1,100,8/09/2010
20100909,252,23.6,0,13.2,0,0,0,7,0,18.9,42,16.6,0,57,100,9/09/2010
20100910,253,23.4,0,18.8,0,0,0,1.8,0,5.1,42,18.8,0,65.3,86.7,10/09/2010
20100911,254,23.4,0,13.2,0,2.4,0,5.8,0,22.7,42,8,0,27.8,52.8,11/09/2010
20100912,255,23,0,11.5,0,0,0,4,0,18.9,42,14.5,0,51.6,100,12/09/2010
20100913,256,24.2,0,15.3,0,0,0,4.8,0,19.6,42,14.6,0,48.4,84,13/09/2010
20100914,257,23.4,0,15,0,0,0,4,0,10.9,42,18.5,0,64.3,100,14/09/2010
20100915,258,25.7,0,17.5,0,0,0,10.2,0,22.8,42,8.7,0,26.4,43.5,15/09/2010
20100916,259,23,0,11.9,0,0,0,6.8,0,8.2,42,8.8,0,31.3,63.2,16/09/2010
20100917,260,20.7,0,15.6,0,0,0,3.2,0,8.1,42,7.8,0,32,44,17/09/2010
